script	linhas	cobertura	achados	sha256
Hermes.bat	99	Triagem estática/textual		7fe5f179767835a9ce44a87912f541cbfcc83bd20dcbb115f5ae1db56d272395
HermesCleanup.ps1	44	Revisão dirigida + triagem		bdb3c84c5bd9d8a89e1460271e1e3a09bcc33fff7165880888ce9cbe0f0b1b85
Qwen3CoderNextBrain.bat	38	Triagem estática/textual		668b1b439e4b8937dd610793fd6245d59fd7e524e108684c104bf3095d6cc36a
SystemDoctor.bat	33	Triagem estática/textual		e473b936a8b632ff8a6d707682c05fcd92643b32d2190cf55bacee2c1fc5fba1
_arquivo/_bench_extract.py	30	Triagem estática/textual		38b0b6432d3bd99517e857bcec413e5d24cbaffc174777293ca2c5ef4c62d2e3
_arquivo/_gen_base640.py	13	Triagem estática/textual		f6fad0e91fa6ff4740417962ac67c7ee0c1efced0b80accf07688525fc70d542
_arquivo/_gen_princesa.py	38	Triagem estática/textual		f96f33fbd8933dd5a0c29ed58ef26981962ab23b524cf02d0673ac1dd5c5834e
_arquivo/_gen_twostage.py	16	Triagem estática/textual		9edf7e04855bdad94fbf3d76e202e770a418a67189465e6f949ed727c766c738
_arquivo/_patch_screenplay.py	22	Triagem estática/textual		fb726570e67e88f4ecd32aeb84ebd366bbd714e17a3fed0fc62a6ffcd1735ac0
_arquivo/_smoke_gguf.py	7	Triagem estática/textual		f8f0ae1aaf889d62b136b9e0f0fe77b75d86cd90f10c9227528ccbdbe2e86478
_arquivo/_smoke_v3.py	7	Triagem estática/textual		33e31bcb0547a5bdc684518583b7ffd172f392458b6812658ec50336cdd38e3e
_arquivo/_test_camera.py	28	Triagem estática/textual		8c086e778aaf7004adce0da28956aa12f2517d9c51ecd45d504fed635201aa60
_arquivo/_test_storyplay25_disney.py	52	Triagem estática/textual		bd1729658d7cc34c0dfbc23ca9c21be166f1bad38b502790d65361d84bc511e9
_arquivo/_test_storyplay25_e2e.py	51	Triagem estática/textual		1809298fd1602775b58ced5a5435baca134f55d52a2990485ee259fce5aa5c7b
_arquivo/v2_output_folder_test.py	20	Triagem estática/textual		49502cfd374d6378df50eedac2979a1299a63bb1a2e9375bb0fedfd14a352966
_atribuicao_338.py	130	Triagem estática/textual		bda07c122d17d8f6fb89fce07cfa1baf77e7fe593f29a12e7308c16c5a86bc6c
_make_25_uis.py	167	Triagem estática/textual		5c89e3448e70ba5005ebe9200bd7bb32c64eea1214b945fdd2fe4ff9dc404e31
_run_screenplay_batch.py	123	Triagem estática/textual		5f8e46c16571182a0f464fe69410487a171b7c1ef3ea3d86133d08080ca082bf
_screenplay_prompts.py	39	Triagem estática/textual		0d228549788be4dd5aef1d09b425511f08f45c96de5af828651ae117d6e6e36d
_test_longtake.py	54	Triagem estática/textual		7c2e6436450e49e9fa5d7b1621d7966962800e4441f1736da4b327cf6094f695
_test_lora_ab.py	78	Triagem estática/textual		1d047ef6944478ad0884d90fd59b2f12cadbae3ef65db7008daa21af7d4b90f8
_test_minimax_duration_cap.py	195	Triagem estática/textual		cb14ba816a25687ab9d9f745a837eaf5e18733d34c570756c339d6b8c2f78931
_test_nag_subtitles.py	175	Triagem estática/textual		18a2b5c1e7eccc0900d79b0ff035254cf3539d6bffb3b896e9016cb4d357a4b0
_test_noquotes.py	39	Triagem estática/textual		2178038c4d9bd29abf604b048809f8247544db66ed4a0187c51f3e4e9a057d1e
analyze_music.py	55	Triagem estática/textual		ce2a36a1e8ce53ed907d6e69510d3f805d514427499b5f91a6ea1f9168abd7c2
animar_corpo.py	91	Triagem estática/textual		4acc5663812806c3b9b5588eeb4a142fd54431c833f4014b6354e0cfbdc7a835
audio_fx.py	189	Triagem estática/textual		599b7e24c2afb9241015edd89dd522a7b29f0393b5ec8ccb3797fe3ca0127629
character3d_webui.py	189	Triagem estática/textual		30ee756ccd64ebc1c1934753e7a6e9d85a8d1ede81c2d1c32a5ed30e7aa2dff8
